שם,תיאור,סוג,שעות פתיחה,כתובת,אתר אינטרנט,טלפון,משלוחים,כשרות,נגישות לנכים,קטגוריה,עיר,אזור,חדש,latitude,longitude
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",דרך רמתיים 24,www.goldaglida.co.il,099775251,"ישיבה במסעדה,משלוחים",,N,גלידריה מתוקים וקינוחים,הוד השרון,שרון,N,32.160024,34.894026
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",קניון ערים,www.goldaglida.co.il,,"ישיבה במסעדה,משלוחים",,N,גלידריה מתוקים וקינוחים,כפר סבא,שרון,N,32.176894,34.904066
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",ברוך בוארון 7,,04-8279988,"ישיבה במסעדה,משלוחים",,N,גלידריה מתוקים וקינוחים,חדרה,צפון,N,32.440238,34.881966
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",מתחם סנטר פארק,www.goldaglida.co.il,04-8634733,"ישיבה במסעדה,משלוחים",,N,גלידריה מתוקים וקינוחים,חדרה,צפון,N,32.427187,34.933158
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",ששת הימים 1,www.goldaglida.co.il,046126444,"ישיבה במסעדה,משלוחים",,N,גלידריה מתוקים וקינוחים,טירת כרמל,צפון,N,32.757629,34.972789
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",טום לנטוס 1,www.goldaglida.co.il,09-7452646,"ישיבה במסעדה,משלוחים","כשר בד""צ בית יוסף",N,גלידריה מתוקים וקינוחים,נתניה,שרון,N,32.311769,34.870241
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ","גיבורי ישראל 17 , מתחם יכין סנטר",www.goldaglida.co.il,09-9777555,"ישיבה במסעדה,משלוחים",,N,גלידריה מתוקים וקינוחים,נתניה,שרון,N,32.281403,34.861403
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",שושנה דמארי 10,www.goldaglida.co.il,099777555,"ישיבה במסעדה,משלוחים","כשר בד""צ בית יוסף",N,גלידריה מתוקים וקינוחים,נתניה,שרון,N,32.277882,34.842716
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",רפאל איתן 5,www.goldaglida.co.il,03-9488000,"ישיבה במסעדה,משלוחים",,N,גלידריה מתוקים וקינוחים,פתח תקווה,מרכז,N,32.104023,34.881703
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",ז'בוטינסקי 72-74,www.goldaglida.co.il,037786447,"ישיבה במסעדה,משלוחים",כשר,N,גלידריה מתוקים וקינוחים,פתח תקווה,מרכז,N,32.093206,34.865218
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",המייסדים 3,www.goldaglida.co.il,037786447,"ישיבה במסעדה,משלוחים",,N,גלידריה מתוקים וקינוחים,קריית אונו,מרכז,N,32.056154,34.857989
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",משה אדרת 4,www.goldaglida.co.il,089711909,"ישיבה במסעדה,משלוחים",,N,גלידריה מתוקים וקינוחים,רמלה,מרכז,N,31.932231,34.888938
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ","ויצמן 273 , מתחם ווסט פארק",www.goldaglida.co.il,097882233,"ישיבה במסעדה,משלוחים",,N,גלידריה מתוקים וקינוחים,רעננה,שרון,N,32.191212,34.845020
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",אחוזה 71,www.goldaglida.co.il,09-9591000,"ישיבה במסעדה,משלוחים","כשר בד""צ בית יוסף",N,גלידריה מתוקים וקינוחים,רעננה,שרון,N,32.178845,34.880786
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ","פרץ סנטר שדרות, הפלדה 8",www.goldaglida.co.il,08-9152212,"ישיבה במסעדה,משלוחים","כשר בד""צ בית יוסף",N,גלידריה מתוקים וקינוחים,שדרות,דרום,N,31.521198,34.594512
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",נעמי שמר 9,www.goldaglida.co.il,03-6046045,"ישיבה במסעדה,משלוחים",,N,גלידריה מתוקים וקינוחים,בת ים,מרכז,N,32.006814,34.740499
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",גולדה מאיר 1,www.goldaglida.co.il,08-8677717,"ישיבה במסעדה,משלוחים","כשר בד""צ",Y,גלידריה מתוקים וקינוחים,דימונה,דרום,N,31.074252,35.031827
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",בן גוריון 1,www.goldaglida.co.il,04-6039900,"ישיבה במסעדה,משלוחים","כשר בד""צ בית יוסף",Y,גלידריה מתוקים וקינוחים,מעלות-תרשיחא,צפון,N,33.012365,35.284244
NIGHT COOKIE,עוגיות איכותיות חמות וטריות במגוון טעמים מפתיעים,מתוקים-קינוחים,"א-ה: 16:00-00:00
שישי: 16:00-00:00
שבת: 16:00-00:00",ויצמן 25,,074-7031853,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,נס ציונה,מרכז,N,31.927135,34.797938
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",מתחם My baby ירכא,www.goldaglida.co.il,04-9922933,"ישיבה במסעדה,משלוחים",,N,גלידריה מתוקים וקינוחים,ירכא,צפון,N,32.946817,35.172455
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",הנשיאים 2,www.goldaglida.co.il,09-788-8934,"ישיבה במסעדה,משלוחים",,Y,גלידריה מתוקים וקינוחים,הוד השרון,שרון,N,32.163238,34.910066
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",הרצל 35,www.goldaglida.co.il,08-6180560,"ישיבה במסעדה,משלוחים","כשר בד""צ בית יוסף",Y,גלידריה מתוקים וקינוחים,רחובות,מרכז,N,31.885041,34.815023
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",ויצמן 12,www.goldaglida.co.il,08-9955289,"ישיבה במסעדה,משלוחים",,N,גלידריה מתוקים וקינוחים,נס ציונה,מרכז,N,31.926947,34.798218
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",קניון עזריאלי עכו,www.goldaglida.co.il,04-8848840,"ישיבה במסעדה,משלוחים",כשר למהדרין,N,גלידריה מתוקים וקינוחים,עכו,צפון,N,32.923026,35.080988
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",אבא הלל 301,www.goldaglida.co.il,,"ישיבה במסעדה,משלוחים",,N,גלידריה מתוקים וקינוחים,רמת גן,מרכז,N,32.100270,34.826186
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",שד' ירושלים 3,www.goldaglida.co.il,035367330,"ישיבה במסעדה,משלוחים",,N,גלידריה מתוקים וקינוחים,רמת גן,מרכז,N,32.074812,34.819333
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",חיים פקריס 3,www.goldaglida.co.il,08-6875060,"ישיבה במסעדה,משלוחים",,N,גלידריה מתוקים וקינוחים,רחובות,מרכז,N,31.912038,34.804530
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",חוצות המפרץ,www.goldaglida.co.il,04-8418472,"ישיבה במסעדה,משלוחים",,N,גלידריה מתוקים וקינוחים,חיפה,צפון,N,32.808702,35.053565
בית הפנקייק המקורי ,"ארוחות בוקר, סלטים פנקייקים וקינוחים","מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 14:00-00:00
שישי: 12:00-00:00
שבת: 12:00-00:00",שייקה אופיר 3,www.pancake.co.il,,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,ראש העין,מרכז,N,32.086705,34.977906
וניליה,גלידרייה,מתוקים-קינוחים,"א-ה: א'-ד' 11:00-00:00 ה' 11:00-01:00
שישי: 11:00-01:00
שבת: ",אבן גבירול 98,,03-5241177,"ישיבה במסעדה,איסוף עצמי",,N,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.083371,34.781533
ג'אלטו קרים,גלידה בוטיק,מתוקים-קינוחים,"א-ה: 08:00-00:30
שישי: 08:00-00:30
שבת: 08:00-00:30",התבור 1,,03-9799555,ישיבה במסעדה,,Y,גלידריה מתוקים וקינוחים,קריית שדה התעופה,מרכז,N,31.987954,34.914153
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",המייסדים 54,www.goldaglida.co.il,04-8437038,"ישיבה במסעדה,משלוחים",,N,גלידריה מתוקים וקינוחים,זכרון יעקב,צפון,N,32.573671,34.954249
וופל בר ,גם מתוק וגם מלוח ,"בית קפה,כריכים-סלטים,מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 11:00-20:00
שישי: 
שבת: חצי שעה לאחר צאת השבת - 23:30",העבודה 14,waffle-bar.co.il,055-5557538,"ישיבה במסעדה,איסוף עצמי","כשר בד""צ בית יוסף",N,גלידריה מתוקים וקינוחים,ראש העין,מרכז,N,32.106346,34.941438
NIGHT COOKIE,עוגיות איכותיות חמות וטריות במגוון טעמים מפתיעים,מתוקים-קינוחים,"א-ה: א'-ד' 15:00-23:00 ה' 10:00-23:00
שישי: 08:00-23:00
שבת: 12:00-23:00",רפאל איתן 1,,03-5444942,ישיבה במסעדה,,Y,גלידריה מתוקים וקינוחים,קריית אונו,מרכז,N,32.067175,34.862784
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ","הרמב""ם 25",,08-6151515,"ישיבה במסעדה,איסוף עצמי,משלוחים",,N,גלידריה מתוקים וקינוחים,אופקים,דרום,N,31.315837,34.622274
Lee HEN ,בר מתוקים לאירועים,מתוקים-קינוחים,"א-ה: חנות אינטרנטית
שישי: חנות אינטרנטית
שבת: ",,leehen.com,072-3957525,משלוחים,,N,גלידריה מתוקים וקינוחים,באר יעקב,מרכז,N,31.941989,34.826081
לה גופרה,גלידרייה,מתוקים-קינוחים,"א-ה: 09:30-22:30
שישי: 09:30-23:30
שבת: 09:30-23:30",מתחם גן העיר החרושת 15,,04-6669749,"ישיבה במסעדה,איסוף עצמי",,Y,גלידריה מתוקים וקינוחים,כרמיאל,צפון,N,32.921257,35.308175
גלידה סיציליאנית,"גלידה, קפה וקינוחים",מתוקים-קינוחים,"א-ה: 11:00-00:00
שישי: 11:00-00:00
שבת: 11:00-00:00",אבן גבירול 63,,03-6962458,"ישיבה במסעדה,איסוף עצמי",,N,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.078890,34.781120
גלידה סיציליאנית ,"גלידה, קפה וקינוחים",מתוקים-קינוחים,"א-ה: 11:00-00:00
שישי: 11:00-00:00
שבת: 11:00-00:00",אבן גבירול 90,,03-69625458,"ישיבה במסעדה,איסוף עצמי",,N,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.082566,34.781448
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ","לב העיר 2, קניון עזריאלי",www.goldaglida.co.il,,"ישיבה במסעדה,איסוף עצמי",,N,גלידריה מתוקים וקינוחים,מודיעין-מכבים-רעות,ירושלים,N,31.899842,35.008274
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",עמק זבולון 24,www.goldaglida.co.il,,"ישיבה במסעדה,איסוף עצמי",,N,גלידריה מתוקים וקינוחים,מודיעין-מכבים-רעות,ירושלים,N,31.907273,34.997869
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",שד' יגאל אלון 1,www.goldaglida.co.il,,"ישיבה במסעדה,איסוף עצמי",,N,גלידריה מתוקים וקינוחים,בית שמש,ירושלים,N,31.755855,34.990156
גלידה GOLDA,רשת גלידריות וקינוחים ,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",השחם 30,www.goldaglida.co.il,,"ישיבה במסעדה,איסוף עצמי",,N,גלידריה מתוקים וקינוחים,פתח תקווה,מרכז,N,32.087371,34.858682
גלידה GOLDA,רשת גלידריות וקינוחים,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",הערבה 1,www.goldaglida.co.il,,"ישיבה במסעדה,איסוף עצמי",,N,גלידריה מתוקים וקינוחים,גבעת שמואל,מרכז,N,32.083643,34.855316
NIGHT COOKIE,עוגיות איכותיות חמות וטריות במגוון טעמים מפתיעים,מתוקים-קינוחים,"א-ה: 16:00-00:00
שישי: 
שבת: חצי שעה מצאת השבת-00:00",חנקין 2,,074-7031853,ישיבה במסעדה,כשר,N,גלידריה מתוקים וקינוחים,רעננה,שרון,N,32.180338,34.876956
NIGHT COOKIE,עוגיות איכותיות חמות וטריות במגוון טעמים מפתיעים,מתוקים-קינוחים,"א-ה: 16:00-00:00
שישי: 
שבת: חצי שעה מצאת שבת - 00:00",הלל 18,,074-7031853,ישיבה במסעדה,כשר,N,גלידריה מתוקים וקינוחים,ירושלים,ירושלים,N,31.780211,35.218040
וניליה,גלידרייה וקינוחים,מתוקים-קינוחים,"א-ה: 11:00-21:00
שישי: 10:00-22:00
שבת: 10:00-21:00",דמרי סנטר אנגל 78,www.vaniglia.co.il,054-6190693,"ישיבה במסעדה,איסוף עצמי",,N,גלידריה מתוקים וקינוחים,כפר סבא,שרון,N,32.197869,34.890627
YUMMY YUMMY,מסעדת קינוחים ומתוקים,מתוקים-קינוחים,"א-ה: 09:30-22:00
שישי: 09:00-15:45
שבת: חצי שעה אחרי צאת שבת-23:00",שדרות נים 2,,052-3776700,"ישיבה במסעדה,איסוף עצמי",כשר,Y,גלידריה מתוקים וקינוחים,ראשון לציון,מרכז,N,31.940115,34.803503
וניליה,גלידרייה,מתוקים-קינוחים,"א-ה: 11:00-21:00
שישי: 09:00-15:00
שבת: 20:00-22:00",קניון מרגליות קומת קרקע,www.vaniglia.co.il,058-6343765,"ישיבה במסעדה,איסוף עצמי",,N,גלידריה מתוקים וקינוחים,הוד השרון,שרון,N,32.143199,34.894334
גלידה GOLDA,גלידרייה,מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",דוכיפת 3,www.goldaglida.co.il,,"ישיבה במסעדה,איסוף עצמי",,N,גלידריה מתוקים וקינוחים,קריית אתא,צפון,N,32.815572,35.137590
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 09:00-22:00
שישי: 09:00-16:00
שבת: חצי שעת אחרי צאת השבת עד 23:00",דרך שיבא 12,,03-7513040,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,רמת גן,מרכז,N,32.051005,34.839288
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 09:00-22:30
שישי: 09:00-16:00
שבת: חצי שעת אחרי צאת השבת עד 23:00",מנחם בגין 132 קניון עזריאלי,,03-7735887,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.074774,34.791261
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 09:00-22:30
שישי: 09:00-16:00
שבת: 09:00-23:00",אלוף קלמן מגן 3 שרונה מרקט,,03-7719961 ,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.070988,34.787320
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 09:00-22:30
שישי: 09:00-16:00
שבת: חצי שעת אחרי צאת השבת עד 23:00","לב העיר 2, קניון עזריאלי",,08-6343826,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,מודיעין-מכבים-רעות,ירושלים,N,31.899122,35.007794
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 09:00-22:30
שישי: 09:00-16:00
שבת: 10:00-23:00",ויצמן 207,,09-9770877,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,כפר סבא,שרון,N,32.170508,34.927681
sweetime,כל הממתקים שבעולם,מתוקים-קינוחים,"א-ה: 09:00-22:30
שישי: 09:00-16:00
שבת: חצי שעת אחרי צאת השבת עד 23:00",זאב  ז'בוטינסקי 72,,03-5410938,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,פתח תקווה,מרכז,N,32.091777,34.865481
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 09:00-22:30
שישי: 09:00-16:00
שבת: חצי שעת אחרי צאת השבת עד 23:00",אבא הלל 301 קניון איילון,,03-6345839,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,רמת גן,מרכז,N,32.100294,34.826525
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 09:00-22:30
שישי: 09:00-16:00
שבת: חצי שעה מצאת השבת - 23:00",שד' טוביהו 125 גרנד קניון,,08-9519999,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,באר שבע,דרום,N,31.250640,34.771620
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 09:00-22:30
שישי: 09:00-16:00
שבת: חצי שעת אחרי צאת השבת עד 23:00",יוספטל 92,,03-5258261,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,בת ים,מרכז,N,32.015030,34.756297
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 10:00-22:00
שישי: 9:00-15:00
שבת: 10:00-22:00",שד' שבעת הכוכבים 8 קניון שבעת הכוכבים,,09-7746686,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,הרצליה,שרון,N,32.165060,34.823983
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 9:30-21:30
שישי: 9:30-15:00
שבת: 21:00-23:00",המלאכה 2 - קניון רננים,,054-4550096,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,רעננה,שרון,N,32.197463,34.878164
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 9:00-22:00
שישי: 9:00-15:00
שבת: מוצ”ש שעה אחרי צאת השבת עד 23:00",דרך יצחק רבין 53  קניון גבעתיים,,03-5077110,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,גבעתיים,מרכז,N,32.066743,34.809864
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 09:00-22:00
שישי: 09:00-16:00
שבת: שעה אחרי צאת השבת עד 22:00",דיזינגוף 50  דיזנגוף סנטר,,058-4206920,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.075012,34.774891
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 8:00-22:30 
שישי: 8:00-15:00
שבת: שעה אחרי צאת השבת עד 23:00",שדרות עמק איילון 30,,054-2088847,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,שוהם,מרכז,N,31.998991,34.946850
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 09:00-22:00
שישי: 09:00-15:00
שבת: שעה אחרי צאת השבת עד 23:00",בילו 2,,1-800-200-339,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,רחובות,מרכז,N,31.893200,34.807242
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 9:30-21:30
שישי: 9:00-14:00
שבת: שעה אחרי צאת שבת עד 22:00",בני ברמן 2 קניון עיר ימים,,04-8823090,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,נתניה,מרכז,N,32.279301,34.846670
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 9:30-22:30
שישי: 9:30-22:30
שבת: 9:30-22:30",דרך עכו 194,,04-6556415,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,קריית ביאליק,צפון,N,32.844579,35.090038
sweetime,כל הממתקים שבעולם,מתוקים-קינוחים,"א-ה: 9:30-21:30
שישי: 9:00-14:00
שבת: אחרי צאת השבת עד 22:00",ז'בוטינסקי 3,,1-800-200-339,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,הוד השרון,שרון,N,32.143155,34.891621
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 9:00-21:45
שישי: 9:00-15:00
שבת: מצאת שבת-23:00","שדרות דוד בן גוריון 21, קניון גירון",,054-2088847,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,אשקלון,דרום,N,31.664482,34.565342
sweetime,כל הממתקים שבעולם,מתוקים-קינוחים,"א-ה: 09:00-22:00
שישי: 09:00-22:00
שבת: 09:00-22:00","אהרון בקר 8, מיקדו סנטר",,03-6594448,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.122717,34.816394
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 8:30-22:30
שישי: 8:30-16:30
שבת: 9:00-22:30",מעלה כמון 2 מרכז ביג,,04-8738884,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,כרמיאל,צפון,N,32.927798,35.324397
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 9:00-22:30
שישי: 9:00-15:30
שבת: 9:00-23:00",מתחם בילו סנטר,,052-5663441,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,קריית עקרון,מרכז,N,31.864891,34.816580
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 09:00-22:00
שישי: 09:00-15:00
שבת: חצי שעה אחרי צאת השבת -עד 22:30",דרך שמחה גולן 54 עופר גרנד קניון,,052-5663441,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,חיפה,צפון,N,32.789150,35.008098
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 09:30-22:00
שישי: 09:30-00:00
שבת: 09:30-00:00",ילדי טהרן 3 סינמה סיטי,,052-5663441,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,ראשון לציון,מרכז,N,31.983290,34.771076
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 09:00-22:00
שישי: 09:00-15:30
שבת: ",האירוסים 53,,052-5663441,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,נס ציונה,מרכז,N,31.930054,34.798186
sweetime,כל הממתקים שבעולם,מתוקים-קינוחים,"א-ה: 10:00-23:00
שישי: 09:00-15:00
שבת: מצאת שבת-23:00","הראל 5, מבשרת ציון ",,055-6611319,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,מבשרת ציון,ירושלים,N,31.805731,35.152695
sweetime,כל הממתקים שבעולם,מתוקים-קינוחים,"א-ה: 09:30-22:00
שישי: 09:30-15:00
שבת: שעה אחרי צאת השבת עד 23:00",דוד סחרוב 21,,03-5222249,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,ראשון לציון,מרכז,N,31.990567,34.774829
sweetime,כל הממתקים שבעולם,מתוקים-קינוחים,"א-ה: 09:00-22:30
שישי: 09:00-15:45
שבת: חצי שעה מצאת שבת עד 23:00",שדרות נים 2,,054-7774786,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,ראשון לציון,מרכז,N,31.949427,34.803089
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 09:30-00:00
שישי: 09:30-17:30
שבת: 11:00-00:00",קאפמן 8,,08-9298083,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,אילת,אילת,N,29.554723,34.965894
sweetime,כל הממתקים שבעולם,מתוקים-קינוחים,"א-ה: 09:30-23:00
שישי: 09:00-17:00
שבת: 10:30-00:00",הפלמח 1 - קניון מול הים,,08-6669516,איסוף עצמי,,Y,גלידריה מתוקים וקינוחים,אילת,אילת,N,29.550016,34.953707
וניליה,גלידרייה וקינוחים,מתוקים-קינוחים,"א-ה: 11:00-21:00
שישי: 11:00-21:00
שבת: 11:00-21:00",אבא אחימאיר 15,,072-2118424,ישיבה במסעדה,,N,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.125008,34.801418
sweetime,כל הממתקים שבעולם,מתוקים-קינוחים,"א-ה: 09:00-22:00
שישי: 09:00-15:00
שבת: 11:00-23:00",מרכז ביג - המשק 3,,08-6199933,"ישיבה במסעדה,איסוף עצמי",,Y,גלידריה מתוקים וקינוחים,באר שבע,דרום,N,31.243140,34.813270
sweetime,כל הממתקים שבעולם,מתוקים-קינוחים,"א-ה: 09:30-22:30
שישי: 09:00-14:30
שבת: 18:00-23:00",אגודת ספורט ביתר 1 - קניון מלחה,,050-3370663,"ישיבה במסעדה,איסוף עצמי",,Y,גלידריה מתוקים וקינוחים,ירושלים,ירושלים,N,31.751468,35.187152
sweetime,כל הממתקים שבעולם,מתוקים-קינוחים,"א-ה: 10:00-00:00
שישי: 10:00-שעה לפני כניסת שבת
שבת: חצי שעה מצאת השבת - 00:00",אנדיב 8 קניון מלכת שבא,,054-6873052,"ישיבה במסעדה,איסוף עצמי",,Y,גלידריה מתוקים וקינוחים,אילת,אילת,N,29.550465,34.960955
sweetime,כל הממתקים שבעולם,מתוקים-קינוחים,"א-ה: 09:00-21:00
שישי: 09:00-14:00
שבת: מוצ”ש שעה אחרי צאת השבת עד 23:00",שלמה המלך 37,,03-6168575,"ישיבה במסעדה,איסוף עצמי",,Y,גלידריה מתוקים וקינוחים,קריית אונו,מרכז,N,32.055129,34.863597
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 09:00-22:30
שישי: 09:00-16:00
שבת: מוצש - 22:30",שייקה אופיר 3,,03-9090900,"ישיבה במסעדה,איסוף עצמי",,Y,גלידריה מתוקים וקינוחים,ראש העין,מרכז,N,32.086404,34.977723
sweetime,כל הממתקים שבעולם ,מתוקים-קינוחים,"א-ה: 09:00-23:00
שישי: 08:00-כניסת שבת
שבת: צאת שבת-23:00",רפפורט 3,,09-8840493,"ישיבה במסעדה,איסוף עצמי",,Y,גלידריה מתוקים וקינוחים,כפר סבא,שרון,N,32.192460,34.891687
sweetime,כל הממתקים שבעולם,מתוקים-קינוחים,"א-ה: 10:00-22:00
שישי: 10:00-22:00
שבת: 10:00-22:00",מתחם סבן אזור תעשייה,,09-7434343,איסוף עצמי,,N,גלידריה מתוקים וקינוחים,טייבה,שרון,N,32.246586,34.999647
גלידה באר שבע,גלידרייה וקינוחים,מתוקים-קינוחים,"א-ה: 10:00-23:00
שישי: 10:00-17:00
שבת: 10:30-23:30",הדסה 50,,08-6814555,"ישיבה במסעדה,איסוף עצמי",,Y,גלידריה מתוקים וקינוחים,באר שבע,דרום,N,31.240607,34.790720
