שם,תיאור,סוג,שעות פתיחה,כתובת,אתר אינטרנט,טלפון,משלוחים,כשרות,נגישות לנכים,קטגוריה,עיר,אזור,חדש,latitude,longitude
הסושייה,מסעדה אסייתית ,סושי-אסייאתי,"א-ה: 11:30-00:00
שישי: 11:30-00:00
שבת: 11:30-00:00",בן גוריון 47,hasushia.com/he/,03-6516511,"ישיבה במסעדה,משלוחים",,Y,מסעדה,בת ים,מרכז,N,32.026109,34.741337
Sunset BLVD,בר מסעדה אמריקאי ,"בר-פאב,בשרים,דגים,חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: 12:00-01:00
שישי: 12:00-02:00
שבת: 12:00-02:00",מרטין בובר 1,sunsetblvd.co.il/,08-9450500,ישיבה במסעדה,,Y,מסעדה,אשדוד,דרום,N,31.812568,34.641104
טאיפיי,מסעדת אסייתית,סושי-אסייאתי,"א-ה: 12:00-22:30
שישי: 12:00-22:30
שבת: 12:00-22:30",יפה נוף 108,taipei.rest.co.il/,04-8383800,ישיבה במסעדה,,Y,מסעדה,חיפה,צפון,N,32.805540,34.988954
יוני 71 - שווארמה  וגריל בשרים,"שיפודים, מזרחי וסלטים","בשרים,ים תיכוני","א-ה: 09:00-00:00
שישי: 09:00-17:00
שבת: ",סוקולוב 71,yoni71.co.il/,03-6316161,"ישיבה במסעדה,משלוחים",כשר רבנות צוהר,Y,מסעדה,רמת השרון,שרון,N,32.146298,34.838505
קפה קפה ,בית קפה מסעדה ,"בית קפה,חלבי,כריכים-סלטים","א-ה: 09:00-00:00
שישי: 09:00-15:00
שבת: שעה מצאת השבת- 00:00",ביג פאשן אשדוד,www.cafecafe.co.il/he/home/a/main/,052-7030187,ישיבה במסעדה,,Y,בית קפה,אשדוד,דרום,N,31.776046,34.664251
קפה קפה ,בית קפה מסעדה בשרי,"בית קפה,בשרים","א-ה: 07:30-23:00
שישי: 07:30-23:00
שבת: 07:30-23:00",עין המפרץ תחנת דלק יעד,www.cafecafe.co.il/he/home/a/main/,04-8669160,ישיבה במסעדה,,Y,בית קפה,עין המפרץ,צפון,N,32.902581,35.093040
נגיסה,סושיה מטבח אסיאתי ,"סושי-אסייאתי,צמחוני-טבעוני","א-ה: 11:00-23:00
שישי: 10:30-15:30
שבת: 20:00-00:00",יהושע חנקין 14,nagisasushi.co.il/,04-6657977,ישיבה במסעדה,כשר למהדרין,Y,מסעדה,עפולה,צפון,N,32.604206,35.294089
פאט ויני,איטלקי ,איטלקי,"א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",מפי 5,www.fatvinny.com/,2730*,"ישיבה במסעדה,משלוחים",,Y,מסעדה,נתניה,שרון,N,32.275329,34.862889
Mucha ,פיצרייה וסלטים,"איטלקי,כריכים-סלטים","א-ה: 12:00-00:00
שישי: 
שבת: 18:00-01:00",אבן גבירול 19,mucha.business.site/,077-6037560,ישיבה במסעדה,,Y,מסעדה,תל אביב - יפו,מרכז,N,32.073198,34.781654
קפה קלרה,מסעדה איטלקית חלבית,"איטלקי,בית קפה,חלבי,כריכים-סלטים","א-ה: 09:30-22:00
שישי: 09:00-15:00
שבת: ",רחוב 6 אזור תעשיה,cafeklara.rest.co.il/,04-8329457,ישיבה במסעדה,למהדרין,Y,בית קפה,קצרין,צפון,N,32.990328,35.708470
55 אוכל ובירה,"לא כולל עסקיות, עסקית ילדים ו- happy hour",בר-פאב,"א-ה: א', ב' 18:00- לקוח אחרון, ג'-ה' 17:00-לקוח אחרון
שישי: 18:00- לקוח אחרון
שבת: 13:00- לקוח אחרון","עתיר ידע 4(ללא עסקיות, ילדים ו happy hour)",55beers.co.il/,09-8870903,ישיבה במסעדה,,Y,בר-פאב,כפר סבא,שרון,N,32.165583,34.928556
55 אוכל ובירה,"לא כולל עסקיות, עסקית ילדים ו- happy hour",טאפסים,"א-ה: א', ב' 18:00- לקוח אחרון, ג'-ה' 17:00-לקוח אחרון
שישי: 18:00-לקוח אחרון
שבת: 13:00- לקוח אחרון","נעמי 4 יס פלנט(ללא עסקיות, ילדים ו happy hour)",,02-5435775,ישיבה במסעדה,,Y,בר-פאב,ירושלים,ירושלים,N,31.762305,35.225675
Black,"לא כולל עסקיות, 2eat, תפריטי ילדים, ותפריטי לילה",צמחוני-טבעוני,"א-ה: 12:00-לקוח אחרון
שישי: 12:00 - לקוח אחרון
שבת: 12:00- לקוח אחרון",יצחק רבין 53 קניון עזריאלי,blackbarburger.co.il,03-7769494,ישיבה במסעדה,,Y,מסעדה,גבעתיים,מרכז,N,32.066595,34.810150
Temple Bar,בר אירי ,בר-פאב,"א-ה: א', ב' 18:00- לקוח אחרון, ג'-ה' 17:00-לקוח אחרון
שישי: 18:00- לקוח אחרון
שבת: 13:00 - לקוח אחרון",סינמה סיטי גלילות,templebar.co.il/?ContentID=2,03-6995536,ישיבה במסעדה,,Y,בר-פאב,רמת השרון,שרון,N,32.146421,34.804749
חוות התבלינים בגלבוע,מסעדה ישראלית ים תיכוני,בית קפה,"א-ה: ב'- ה' 12:00-22:00
שישי: 09:00-11:00 - ארוחת בוקר, 12:00-22:00
שבת: 12:00-22:00","דרך נוף הגלבוע, כביש 667",www.herb-farm.co.il/,04-6531093,ישיבה במסעדה,,Y,תבלינים ופיצוחים,מ.א. גלבוע,צפון,N,32.533730,35.356950
קפה קפה ,מסעדה בשרי ,"בית קפה,בשרים","א-ה: 07:30-00:00
שישי: פתוח  24 שעות  יממה
שבת: פתוח  24 שעות  יממה","אח""י אילת 55",cafecafeeilat.rest.co.il,04-8404444,ישיבה במסעדה,,Y,בית קפה,קריית חיים תאי דואר,צפון,N,32.818554,35.074970
קפה קפה ,מסעדה חלבי ,"בית קפה,חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-23:30
שישי: 08:00 - שעתיים לפני כניסת שבת
שבת: שעה לאחר צאת השבת - לקוח אחרון",שאול עמור 77,cafecafeeilat.rest.co.il,04-6023535,ישיבה במסעדה,כשר,Y,בית קפה,מגדל העמק,מרכז,N,32.678267,35.243565
JAJA,בר אוכל איטלקי ,איטלקי,"א-ה: 18:00-02:00לא כולל happy hour
שישי: 11:00-04:00 לא כולל happy hour
שבת: 17:00-02:00לא כולל happy hour",רוטשילד 86,,077-9386330,ישיבה במסעדה,,Y,מסעדה,ראשון לציון,מרכז,N,31.964436,34.795367
אוליב  קונור,"בשרי, ישראלי וחלבי","איטלקי,בשרים,חלבי,מזרחי","א-ה: 09:00-23:00
שישי: 09:00-23:00
שבת: 09:00-23:00",בוגרשוב 35,olivekorner.com/,03-5283362,ישיבה במסעדה,,Y,מסעדה,תל אביב - יפו,מרכז,N,32.076790,34.770733
55 אוכל ובירה ,"לא כולל עסקיות, עסקית ילדים ו- happy hour","בר-פאב,בשרים,כריכים-סלטים,מתוקים-קינוחים","א-ה: א' -ב' 18:00-לקוח אחרון  ג'-ה' 17:00- לקוח אחרון
שישי: 18:00- לקוח אחרון
שבת: 13:00- לקוח אחרון","מאה עשרים ואחת 4  (ללא עסקיות, ילדים ו happy hour)",55beers.co.il/,03-5448888,ישיבה במסעדה,,Y,בר-פאב,ראשון לציון,מרכז,N,31.979773,34.747565
גיגסי  ספורט בר ,"לא כולל עסקיות, תפריטי ילדים ו- happy hour","בר-פאב,בשרים,כריכים-סלטים,מתוקים-קינוחים","א-ה: 18:00- לקוח האחרון
שישי: לא כולל אולם הייניקן ואולם פפסי מקס
שבת: מצאת השבת - 01:00",יצחק נפחא 36 לא כולל אולם הייניקן ואולם פפסי מקס,www.giggsi.co.il/restaurant.php,08-6109109,ישיבה במסעדה,כשר,Y,בר-פאב,באר שבע,דרום,N,31.247743,34.810701
פרנג'ליקו ,מסעדה אסייתית ,סושי-אסייאתי,"א-ה: 11:30-21:30
שישי: 11:30-14:30
שבת: שעה מצאת השבת - 20:30",רחוב החרושת 2 קניון עזריאלי,frangelicobar.com/,04-6013160,ישיבה במסעדה,כשר,Y,מסעדה,עכו,צפון,N,32.923144,35.081340
מסעדת פלפלה ,מסעדה כפרית,"בשרים,ים תיכוני,מזרחי","א-ה: 11:00-23:00
שישי: 11:00-23:00
שבת: 11:00-23:00",כפר קאסם,37126760.rest.co.il/,03-9072038,ישיבה במסעדה,,Y,מסעדה,כפר קאסם,מרכז,N,32.113788,34.963716
מפגש שמש ,שווארמה - בשרי מזרחי ,"בשרים,ים תיכוני,מזרחי","א-ה: 11:00-23:00
שישי: 
שבת: ",זבוטינסקי 155,mifgashshemesh.co.il/,03-6128989,ישיבה במסעדה,"כשר -בד""צ מחפוד",Y,מסעדה,רמת גן,מרכז,N,32.091222,34.825009
ביירן - עזריאלי ,הבראסרי הבווארי הראשון בישראל,בשרים,"א-ה: 10:30-21:45
שישי: 10:30 - שעה לפני כניסת שבת
שבת: ",דרך מנחם בגין 132,bayern-market.com/,03-9444132,ישיבה במסעדה,,Y,מסעדה,תל אביב - יפו,מרכז,N,32.073982,34.785983
ביירן - שרונה ,הבראסרי הבווארי הראשון בישראל,בשרים,"א-ה: 11:00-22:00
שישי: 10:30-15:00
שבת: 11:00-22:00",קלמן מגן 3,bayern-market.com/,,ישיבה במסעדה,,Y,מסעדה,תל אביב - יפו,מרכז,N,32.071280,34.786328
פאט ויני ,דיינר איטלקי ,איטלקי,"א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00","קניון מול הים, פרופסור שכטמן 10",www.fatvinny.com/about,2730*,"ישיבה במסעדה,משלוחים",,Y,מסעדה,חדרה,צפון,N,32.442431,34.894919
קפה בגולף,בוקר בראנץ' אווירה ,"איטלקי,בית קפה,בר-פאב","א-ה: 08:00-16:00
שישי: 08:00-16:00
שבת: 08:00-16:00",מועדון הגולף קיסריה,,04-7743733,ישיבה במסעדה,,Y,בית קפה,קיסריה,צפון,N,32.501609,34.907259
מקס ברנר,בית קפה מתוקים וקינוחים,"בית קפה,חלבי,מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 09:00-00:00
שישי: 09:00-01:30
שבת: 09:00-00:30",קלמן מגן 3,www.max-brenner.co.il,03-6229435,"ישיבה במסעדה,משלוחים",,Y,מסעדה,תל אביב - יפו,מרכז,N,32.071545,34.786950
קפה קפה ,מסעדה בשרית,בשרים,"א-ה: 08:00-23:00
שישי: 08:00-23:00
שבת: 08:00-23:00",מרכז מסחרי,cafecafeeilat.rest.co.il,,ישיבה במסעדה,,Y,בית קפה,גן שמואל,צפון,N,32.453002,34.949316
קפה קפה ,בית קפה מסעדה חלבי,"בית קפה,חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-23:00
שישי: 08:00-14:00
שבת: מצאת השבת- 23:00",מרכז מסחרי חאן  מעלה גיא אוני 1,cafecafeeilat.rest.co.il,04-6936484,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,ראש פינה,צפון,N,32.968998,35.547640
איטליאנו דה לה קוסטה ,מסעדה איטלקית ,"איטלקי,דגים,חלבי,מתוקים-קינוחים","א-ה: 12:00-23:00
שישי: 12:00-00:00
שבת: 11:00-23:00",העליה השנייה 96,www.eataliano.rest.co.il/,04-6601011,ישיבה במסעדה,,Y,מסעדה,חיפה,צפון,N,32.831442,34.970477
EVENTOS,מסעדת בשרים בסגנון דרום אמריקאי,בשרים,"א-ה: 12:00-23:30
שישי: 
שבת: שעה מצאת השבת - 23:00",דרך המכבים 40,elgaucho-rishon.co.il,077-9972391,ישיבה במסעדה,"כשר בד""ץ בית יוסף",N,מסעדה,ראשון לציון,מרכז,N,31.980067,34.809426
רטרו פנקייק בר ,בר מסעדה ,"בר-פאב,בית קפה,חלבי,מתוקים-קינוחים","א-ה: 09:00-01:00
שישי: 09:00-02:00
שבת: 10:00-01:00",התע״ש 24,misadot.rol.co.il/sites/retro-pancake-bar-ks/,09-7722688,ישיבה במסעדה,,N,מסעדה,כפר סבא,שרון,N,32.177147,34.927569
אבו כנאפה - דוכן קניון איילון ,סוגי ממתקים מזרחיים מיוחדים וייחודיים,"ים תיכוני,מזרחי,מתוקים-קינוחים","א-ה: דוכן בימי שישי בלבד
שישי: דוכן בימי שישי בלבד
שבת: דוכן בימי שישי בלבד",קניון איילון - רמת גן,,052-2028665,ישיבה במסעדה,,Y,"גלידריה, מתוקים וקינוחים",רמת גן,מרכז,N,32.100508,34.826165
אבו כנאפה  - דוכן בילו סנטר,סוגי ממתקים מזרחיים מיוחדים וייחודיים,"ים תיכוני,מזרחי,מתוקים-קינוחים","א-ה: פתוח בשבת בלבד
שישי: פתוח בשבת בלבד
שבת: פתוח בשבת בלבד",בילו סנטר קרית עקרון,,052-2028665,ישיבה במסעדה,,Y,"גלידריה, מתוקים וקינוחים",קריית עקרון,מרכז,N,31.863402,34.817056
קפית בגן ,בית קפה מסעדה,"איטלקי,בית קפה,דגים,חלבי","א-ה: 08:00-00:00
שישי: 08:00- שעה לפני כניסת שבת
שבת: שעה לאחר צאת השבת - 00:00",יהודה בורלא 1 הגן הבוטני,caffit.co.il/,02-6480003,ישיבה במסעדה,כשר,Y,בית קפה,ירושלים,ירושלים,N,31.766395,35.201567
חומוס אשכרה,מסעדת חומוס,"ים תיכוני,צמחוני-טבעוני","א-ה: 05:00-02:00
שישי: 05:00-16:30
שבת: ",ירמיהו 45,misadot.rol.co.il/sites/hummus-ashkara,03-5464547,ישיבה במסעדה,כשר,N,מסעדה,תל אביב - יפו,מרכז,N,32.095122,34.777897
קפה קפה ,בית קפה מסעדה,"איטלקי,בית קפה,חלבי","א-ה: 07:30-23:30
שישי: 07:00-שעה לפני כניסת שבת
שבת: שעה לאחר צאת השבת - 23:30",שד' בן גוריון 2,www.cafecafe.co.il/he/home/a/main/,04-9823077,ישיבה במסעדה,למהדרין,Y,בית קפה,חיפה,צפון,N,32.823415,34.992924
קפה קפה ,בית קפה מסעדה ,חלבי,"א-ה: 08:00-00:00
שישי: 08:00-00:00
שבת: 08:00-00:00",כביש 444,www.cafecafe.co.il/he/home/a/main/,050-9742699,ישיבה במסעדה,,Y,בית קפה,טייבה,שרון,N,32.264844,35.000765
קפה קפה,בית קפה מסעדה ,"בית קפה,בשרים","א-ה: 08:00-22:00
שישי: 07:30-15:30
שבת: 09:00-22:00",שדרות הנשיא בן צבי 2,www.cafecafe.co.il/he/home/a/main/,04-6080813,ישיבה במסעדה,,Y,בית קפה,נהרייה,צפון,N,33.005183,35.100515
קפה קפה ,בית קפה מסעדה,"איטלקי,בית קפה,חלבי,כריכים-סלטים","א-ה: 07:30-00:00
שישי: 07:30-00:00
שבת: 0900-00:00",ככר בן גוריון 1 - גן המייסדים,www.cafecafe.co.il/he/home/a/main/,04-9830883,ישיבה במסעדה,,Y,בית קפה,קריית טבעון,צפון,N,32.722624,35.131037
קפה קפה ,בית קפה מסעדה,"בית קפה,בשרים","א-ה: 08:00-00:00
שישי: 08:00-00:00
שבת: 08:00-00:00",צומת אלמוג,www.cafecafe.co.il/he/home/a/main/,02-9402555,ישיבה במסעדה,,Y,בית קפה,אלמוג,ירושלים,N,31.802150,35.453036
NORI,סושי בר  - לא כולל HAPPY HOUR,"סושי-אסייאתי,בשרים,דגים,צמחוני-טבעוני","א-ה: 11:30-23:30
שישי: 
שבת: ",הצורן 4,nori.co.il/,09-7703990,ישיבה במסעדה,כשר,Y,מסעדה,נתניה,שרון,N,32.288779,34.865872
הטבעונית j17 ,100% אוכל טבעוני כולל מאכלים ביתיים ,צמחוני-טבעוני,"א-ה: 10:30-23:00
שישי: 09:30-16:00
שבת: ",ירמיהו 17,j17.co.il/,03-9442773,ישיבה במסעדה,כשר,Y,מסעדה,תל אביב - יפו,מרכז,N,32.094876,34.775895
רנה,ביסטרו בר קפה ,"בר-פאב,חלבי,כריכים-סלטים","א-ה: 08:00-00:00
שישי: 08:00-00:00
שבת: 08:00-00:00",דרך הגליל,renebistrobarcafe.co.il/default.aspx,04-6151935,ישיבה במסעדה,כשר,Y,מסעדה,ראש פינה,צפון,N,32.969705,35.549973
רנה,ביסטרו בר קפה ,בית קפה,"א-ה: 08:00-00:00
שישי: 
שבת: ",מעלה כמון מתחם ביג,renebistrobarcafe.co.il/default.aspx,04-6126773,ישיבה במסעדה,כשר,Y,מסעדה,כרמיאל,צפון,N,32.927367,35.323510
קופינאס,ביסטרו איטלקי במושב,"איטלקי,בית קפה","א-ה: 09:00-23:00
שישי: 08:30-23:00
שבת: 09:00-23:00",השיבולים 3,www.kofinas.co.il/,09-7722672,ישיבה במסעדה,,Y,בית קפה,צור משה,שרון,N,32.298364,34.913112
טאיה ,אסייתי וסושי בר ,"סושי-אסייאתי,צמחוני-טבעוני","א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",האופה 1 רולדין סנטר,www.tayarest.co.il/,09-7728878,ישיבה במסעדה,,Y,מסעדה,קדימה,שרון,N,32.276485,34.919583
בורקס השוק ,דוכן בורקסים בכל הטעמים ,ים תיכוני,"א-ה: 09:30-22:00
שישי: 08:30-16:30
שבת: 09:00-16:30",קלמן מגן 3 שרונה מרקט,,052-22028665,ישיבה במסעדה,כשר,Y,מאפיה וקונדיטוריה,תל אביב - יפו,מרכז,N,32.070988,34.787288
בית החצ'פורי ,בן גוריון 105,חלבי,"א-ה: 08:30-00:00
שישי: 08:30-00:00
שבת: 08:30-00:00",בן גוריון 105,deda.co.il/hachapori/?,1700-700-165,ישיבה במסעדה,,N,מסעדה,בת ים,מרכז,N,32.016146,34.738723
קפה קפה ,בית קפה - בשרי ,"בית קפה,בשרים","א-ה: 07:30-22:00
שישי: 07:30-22:00
שבת: 07:30-22:00",הגליל 1,www.cafecafe.co.il/he/home/a/main,04-6797235,ישיבה במסעדה,,Y,בית קפה,נצרת,צפון,N,32.706400,35.301751
moon,מסעדה יפנית ,"סושי-אסייאתי,צמחוני-טבעוני","א-ה: 12:00-23:30
שישי: 12:00-16:00
שבת: ",החושלים 4,www.moon-sushi.co.il/,03-6291155,"ישיבה במסעדה,משלוחים",,Y,מסעדה,הרצליה,שרון,N,32.158741,34.807262
יקב שילה ,יקב בוטיק מכירת יין וסיורי טעימות בתיאום מראש,בר-פאב,"א-ה: בתיאום מראש 09:00-17:00
שישי: 09:00-17:00 בתיאום מראש
שבת: ",אזור התעשיה שילה,www.shilohwinery.com/?lang=he,050-3422268,"ישיבה במסעדה,משלוחים",כשר,Y,יקבים ומבשלות בירה,שילה,ירושלים,N,32.047769,35.302239
יקב כהנוב ,מכירת יין וסיורים בתיאום מראש ,בר-פאב,"א-ה: בתיאום טלפוני מראש
שישי:  בתיאום מראש 10:00-15:00
שבת: ",גדרה,www.kahanov.com/,052-2523721 | 052-3963999,"ישיבה במסעדה,משלוחים",,Y,בר-פאב,גדרה,דרום,N,31.825372,34.770399
יקב יפו,מכירת יין,בר-פאב,"א-ה: 
שישי: 11:00-17:00
שבת: ",נוה מיכאל עמק האלה,www.yaffowinery.co.il/,054-4523201,"איסוף עצמי,משלוחים",למהדרין,N,יקבים ומבשלות בירה,נווה מיכאל,ירושלים,N,31.675930,35.001648
מוסקו ,מבשלת בירה בוטיק,בר-פאב,"א-ה: יום ה'  09:00-17:00 20:00-02:30 בר פתוח
שישי: תיאום טלפוני מראש
שבת: ",מושב זנוח משק 28,moscobeer.co.il/,052-2332591,ישיבה במסעדה,"כשר בד""צ בית יוסף",Y,יקבים ומבשלות בירה,זנוח,ירושלים,N,31.733755,34.998150
יקב פסגות ,מכירת יין וסיורים בתיאום מראש,בר-פאב,"א-ה: 09:00-16:00 בתיאום מראש
שישי: 09:00-13:00 בתיאום מראש
שבת: ",ישוב פסגות,psagotwines.com/,02-9979333,ישיבה במסעדה,כשר,Y,יקבים ומבשלות בירה,פסגות,ירושלים,N,31.875328,35.259165
מזקקת גולני ,מזקקת ויסקי ג'ין וערק בייצור עצמי,בר-פאב,"א-ה: 10:00-16:00 בתיאום מראש
שישי: 10:00-14:00  בתיאום מראש
שבת: לתאום ההגעה להתקשר 053-3394787",אזור התעשיה 18 קצרין,www.golanispirit.com/,053-3394787,"איסוף עצמי,משלוחים",כשר למהדרין,Y,יקבים ומבשלות בירה,קצרין,צפון,N,32.991709,35.709702
יקב דלתון,מכירת יין וסיורים בתיאום מראש ,בר-פאב,"א-ה: 10:00-18:00
שישי: 10:00-14:00
שבת: ",פארק תעשיה דלתון מרום גליל,www.dalton-winery.com/,04-9527107 או 054-6360940,"איסוף עצמי,משלוחים",כשר למהדרין,Y,יקבים ומבשלות בירה,דלתון,צפון,N,33.029603,35.476754
בוצ'רי ,אחוזת בשר ,"בשרים,דגים,ים תיכוני","א-ה: 12:00-23:00
שישי: 12:00-שעתיים לפני כניסת שבת
שבת: מצאת השבת - 23:30",ההסתדרות 22,,08-6233370,ישיבה במסעדה,כשר,N,מסעדה,באר שבע,דרום,N,31.238132,34.787564
Bread and Breakfast ,בית קפה מסעדה ,"בית קפה,דגים,חלבי,ים תיכוני","א-ה: 07:00-20:00
שישי: 07:00-14:00
שבת: ",זבוטינסקי 3,breadandbreakfast.rest.co.il/,09-7728340,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,רעננה,שרון,N,32.179804,34.874271
Cafe Lugano,בית קפה מסעדה,"בית קפה,דגים,חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-22:00
שישי: 08:00-14:00
שבת: ",החוגה 2,www.cafe-lugano.com/,077-4070604,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,רמת גן,מרכז,N,32.046411,34.834439
קפה קפה ,בית קפה מסעדה ,"בית קפה,חלבי,כריכים-סלטים","א-ה: 09:00-20:00
שישי: 08:30-15:00
שבת: ",דיזנגוף סנטר (קומה 3),www.cafecafe.co.il/he/home/a/main/,052-7595501,ישיבה במסעדה,כשר,Y,בית קפה,תל אביב - יפו,מרכז,N,32.075031,34.774906
אחלה ,מסעדת בשרים ,"בשרים,ים תיכוני","א-ה: 12:00-23:00
שישי: 
שבת: מצאת השבת - 00:00",קאמן 1,,08-6342555,ישיבה במסעדה,כשר למהדרין,N,מסעדה,אילת,אילת,N,29.555964,34.959213
בולווארד I cafe,בית קפה חלבי ,"איטלקי,בית קפה,חלבי","א-ה: 07:30-23:00
שישי: 09:00-23:00
שבת: 09:00-23:00",מלון ישרוטל רויאל גארדן 1,,08-6386666,ישיבה במסעדה,,Y,בית קפה,אילת,אילת,N,29.550387,34.963255
ג'ויה ,מסעדה איטלקית ,איטלקי,"א-ה: 12:00-23:00
שישי: 12:00-15:30
שבת: מצאת השבת - לקוח האחרון",דרך הגליל 12,joya.co.il/,04-8589099,ישיבה במסעדה,כשר,Y,מסעדה,ראש פינה,צפון,N,32.970762,35.550527
יקב קטלב,יקב בוטיק מכירת יין וסיורי טעימות בתיאום מראש,בר-פאב,"א-ה: 08:30-17:00 בתיאום מראש
שישי: 09:30-13:30
שבת: ",נס הרים 8,www.katlav.co.il/,02-5703575,"איסוף עצמי,משלוחים",כשר למהדרין,Y,יקבים ומבשלות בירה,נס הרים,ירושלים,N,31.745881,35.060450
גלידה סיציליאנית ,"גלידה, קפה וקינוחים",מתוקים-קינוחים,"א-ה: 11:00-00:00
שישי: 11:00-00:00
שבת: 11:00-00:00",שנקר 14,glideria.co.il/,03-9774367,ישיבה במסעדה,,Y,גלידריה מתוקים וקינוחים,הרצליה,שרון,N,32.159038,34.808573
באבא יאגה ,בית קפה מסעדה,"איטלקי,בר-פאב,בית קפה,ים תיכוני","א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",הירקון 12,www.babayaga.co.il/,03-5175179,"ישיבה במסעדה,משלוחים",,Y,מסעדה,תל אביב - יפו,מרכז,N,32.069346,34.764691
Black&white,סושי בר ,"סושי-אסייאתי,צמחוני-טבעוני","א-ה: 12:00-00:30 יום ה' עד 01:00
שישי: 12:00-16:00
שבת: 18:00-01:00",ז'בוטינסקי 53,,03-9619999,ישיבה במסעדה,,Y,מסעדה,ראשון לציון,מרכז,N,31.964481,34.793559
וופל בר ,גם מתוק וגם מלוח ,"איטלקי,בית קפה,דגים,כריכים-סלטים,מתוקים-קינוחים","א-ה: 09:00-23:30
שישי: 08:00-14:00
שבת: מצאת השבת- 23:30",שד' מנחם בגין 21,waffle-bar.co.il/branches.aspx?p=2,03-6404544,ישיבה במסעדה,כשר,Y,גלידריה מתוקים וקינוחים,מודיעין-מכבים-רעות,ירושלים,N,31.881506,35.013288
נגיסה ,סושיה מטבח אסיאתי ,"סושי-אסייאתי,צמחוני-טבעוני","א-ה: 11:30-23:00
שישי: 
שבת: שעה ממוצ""ש-23:30",יוני נתניהו 29,nagisasushi.co.il/,03-5555035,ישיבה במסעדה,"בד""צ",Y,מסעדה,גבעת שמואל,מרכז,N,32.077195,34.854732
קפה גרג ,בית קפה מסעדה,"איטלקי,בית קפה,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-23:00
שישי: 08:00-14:00
שבת: מוצ""ש - 23:30",מנחם בגין 30,gregcafe.co.il/,03-5504969,ישיבה במסעדה,כשר למהדין,Y,בית קפה,גבעת שמואל,מרכז,N,32.075764,34.854572
קפה גרג,בית קפה מסעדה ,"בית קפה,חלבי,כריכים-סלטים","א-ה: 08:30-23:30
שישי: 08:00-15:00
שבת: חצי שעה לאחר צאת השבת - 00:00",קניון מלחה,gregcafe.co.il/,02-6232023,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,ירושלים,ירושלים,N,31.751102,35.187286
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,חלבי","א-ה: 08:00-22:00
שישי: 08:00-14:00
שבת: שעה לאחר צאת השבת- 23:00",זבוטינסקי 72,gregcafe.co.il/,03-6428888,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,פתח תקווה,מרכז,N,32.092729,34.865533
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,חלבי","א-ה: 08:30-22:30
שישי: 08:00-13:30
שבת: ",האירוסים 53 קניותר,gregcafe.co.il/,08-6450430,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,נס ציונה,מרכז,N,31.930155,34.798294
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,חלבי","א-ה: 09:00-23:00
שישי: 08:30-14:00
שבת: שעה לאחר צאת השבת- 23:00",דרך חיפה 32,gregcafe.co.il/,04-6444074,ישיבה במסעדה,כשר,Y,בית קפה,קריית אתא,צפון,N,32.807351,35.076339
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,חלבי","א-ה: 09:30-22:00
שישי: 09:00-14:00
שבת: ",דיזנגוף סנטר 55,gregcafe.co.il/,03-9366514,ישיבה במסעדה,כשר,Y,בית קפה,תל אביב - יפו,מרכז,N,32.075570,34.775837
קפה גרג,בית קפה מסעדה,"חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: א'-ד'- 08:00-23:30 ה' עד 00:00
שישי: 08:00-14:30
שבת: חצי שעה מצאת השבת - 00:00",המברג 1 מתחם ביג,gregcafe.co.il/,04-6735767,ישיבה במסעדה,כשר למהדרין,N,בית קפה,טבריה,צפון,N,32.784400,35.497632
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,חלבי","א-ה: 08:30-22:00
שישי: 08:00-17:00
שבת: 10:00- לקוח אחרון",החרושת 8 מתחם חוצות המפרץ,gregcafe.co.il/,04-9536003,ישיבה במסעדה,,Y,בית קפה,חיפה,צפון,N,32.809255,35.055784
קפה גרג,בית קפה מסעדה,"איטלקי,בית קפה,חלבי","א-ה: 07:00-לקוח אחרון
שישי: 07:00-שעה לפני כניסת שבת
שבת: שעה לאחר צאת השבת - 00:00",דרך בר יהודה 111,gregcafe.co.il/,04-6221199,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,חיפה,צפון,N,32.785393,35.030812
