שם,תיאור,אזור,עיר,כתובת,טלפון,קטגוריה,סוג,שעות פתיחה,כשר,נגישות לנכים,אתר אינטרנט,משלוחים,חדש,latitude,longitude
המוסד לסנדוויצ'ים,מזללה של סנדוויצ'ים והמבורגרים,מרכז,תל אביב - יפו,אבן גבירול 67,03-5629896,מסעדה,בשרים,"א-ה: 12:00-02:00
שישי: 12:00-05:00
שבת: 12:00-03:00",,N,he-il.facebook.com/mosadsandwich/,N,N,32.079270,34.781130
קפה קפה ,בית קפה מסעדה חלבית ,צפון,נהרייה,שד' הגעתון 35,049818020,בית קפה,"איטלקי,בית קפה,חלבי,כריכים-סלטים","א-ה: 08:00-00:00
שישי: 08:00- שעה לפני כניסת שבת
שבת: שעה מצאת השבת - 00:00","כשר בד""צ",Y,www.cafecafe.co.il/he/home/a/main/,N,N,33.006579,35.093160
Wok a Way,נודלס בר כשר,שרון,רמת השרון,סוקולוב 72,03-6992282,מסעדה,סושי-אסייאתי,"א-ה: 11:00-23:00
שישי: 11:00-15:00
שבת: מצאת השבת - 23:00",כשר,Y,wokaway.co.il/,Y,N,32.146092,34.838749
מסעדת הדגים עין גב,מסעדת דגים,צפון,עין גב,עין גב,04-6658136,מסעדה,"דגים,ים תיכוני","א-ה: 12:00-22:00
שישי: 12:00-22:00
שבת: 12:00-22:00",,Y,adagim-eingev.rest.co.il/,N,N,32.783398,35.636490
רפאלו,איטלקי ,צפון,עין שמר,עין שמר,6632*,מסעדה,"איטלקי,בית קפה,חלבי,צמחוני-טבעוני","א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",,Y,www.raffaello.co.il,Y,N,32.461917,35.006730
הסושייה,מסעדה אסייתית ,מרכז,בת ים,בן גוריון 47,03-6516511,מסעדה,סושי-אסייאתי,"א-ה: 11:30-00:00
שישי: 11:30-00:00
שבת: 11:30-00:00",,Y,hasushia.com/he/,Y,N,32.026109,34.741337
Sunset BLVD,בר מסעדה אמריקאי ,דרום,אשדוד,מרטין בובר 1,08-9450500,מסעדה,"בר-פאב,בשרים,דגים,חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: 12:00-01:00
שישי: 12:00-02:00
שבת: 12:00-02:00",,Y,sunsetblvd.co.il/,N,N,31.812568,34.641104
ג'לטו אייס ,גלידרייה יוגורטיה וקינוחים,מרכז,קריית שדה התעופה,הירדן 1,03-9799555,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 08:00-00:30
שישי: 08:00-00:30
שבת: 08:00-00:30",,N,www.rest.co.il/rest/80181802/,Y,N,31.989465,34.910078
coppa גלידרייה ,גלידרייה בייצור עצמי,שרון,הרצליה,סוקולוב 27,09-7689546,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 10:00-01:00
שישי: 10:00-01:00
שבת: 10:00-01:00",,Y,www.coppa.co.il/,N,N,32.167363,34.841590
טאיפיי,מסעדת אסייתית,צפון,חיפה,יפה נוף 108,04-8383800,מסעדה,סושי-אסייאתי,"א-ה: 12:00-22:30
שישי: 12:00-22:30
שבת: 12:00-22:30",,Y,taipei.rest.co.il/,N,N,32.805540,34.988954
יוני 71 - שווארמה  וגריל בשרים,"שיפודים, מזרחי וסלטים",שרון,רמת השרון,סוקולוב 71,03-6316161,מסעדה,"בשרים,ים תיכוני","א-ה: 09:00-00:00
שישי: 09:00-17:00
שבת: ",כשר רבנות צוהר,Y,yoni71.co.il/,Y,N,32.146298,34.838505
קפה קפה ,בית קפה מסעדה ,דרום,אשדוד,ביג פאשן אשדוד,052-7030187,בית קפה,"בית קפה,חלבי,כריכים-סלטים","א-ה: 09:00-00:00
שישי: 09:00-15:00
שבת: שעה מצאת השבת- 00:00",,Y,www.cafecafe.co.il/he/home/a/main/,N,N,31.776046,34.664251
קפה קפה ,בית קפה מסעדה בשרי,צפון,עין המפרץ,עין המפרץ תחנת דלק יעד,04-8669160,בית קפה,"בית קפה,בשרים","א-ה: 07:30-23:00
שישי: 07:30-23:00
שבת: 07:30-23:00",,Y,www.cafecafe.co.il/he/home/a/main/,N,N,32.902581,35.093040
נגיסה,סושיה מטבח אסיאתי ,צפון,עפולה,יהושע חנקין 14,04-6657977,מסעדה,"סושי-אסייאתי,צמחוני-טבעוני","א-ה: 11:00-23:00
שישי: 10:30-15:30
שבת: 20:00-00:00",,Y,nagisasushi.co.il/,N,N,32.604206,35.294089
פאט ויני,איטלקי ,שרון,נתניה,מפי 5,2730*,מסעדה,איטלקי,"א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",,Y,www.fatvinny.com/,Y,N,32.275329,34.862889
Mucha ,פיצרייה וסלטים,מרכז,תל אביב - יפו,אבן גבירול 19,077-6037560,מסעדה,"איטלקי,כריכים-סלטים","א-ה: 12:00-00:00
שישי: 
שבת: 18:00-01:00",,Y,mucha.business.site/,N,N,32.073198,34.781654
קפה קלרה,מסעדה איטלקית חלבית,צפון,קצרין,רחוב 6 אזור תעשיה,04-8329457,בית קפה,"איטלקי,בית קפה,חלבי,כריכים-סלטים","א-ה: 09:30-22:00
שישי: 09:00-15:00
שבת: ",למהדרין,Y,cafeklara.rest.co.il/,N,N,32.990328,35.708470
אצה,מסעדה אסייתית ,צפון,קריית שמונה,מרכז ביג,04-8457766,מסעדה,"סושי-אסייאתי,צמחוני-טבעוני","א-ה: 11:30-23:00
שישי: 11:00-שעה לפני כניסת שבת
שבת: מצאת השבת -23:30",כשר,Y,atza.co.il/branches/259,Y,N,33.192434,35.571245
55 אוכל ובירה,"לא כולל עסקיות, עסקית ילדים ו- happy hour",שרון,כפר סבא,"עתיר ידע 4(ללא עסקיות, ילדים ו happy hour)",09-8870903,בר-פאב,בר-פאב,"א-ה: א', ב' 18:00- לקוח אחרון, ג'-ה' 17:00-לקוח אחרון
שישי: 18:00- לקוח אחרון
שבת: 13:00- לקוח אחרון",,Y,55beers.co.il/,N,N,32.165583,34.928556
55 אוכל ובירה,"לא כולל עסקיות, תפריטי ילדים ו- happy hour",צפון,זכרון יעקב,"מול זכרון יעקב(ללא עסקיות, ילדים ו happy hour)",04-8160666,בר-פאב,בר-פאב,"א-ה: 12:30-לקוח אחרון
שישי: 12:30- לקוח אחרון
שבת: 13:00 - לקוח אחרון",,Y,55beers.co.il/,N,N,32.569263,34.933391
55 אוכל ובירה,"לא כולל עסקיות, עסקית ילדים ו- happy hour",ירושלים,ירושלים,"נעמי 4 יס פלנט(ללא עסקיות, ילדים ו happy hour)",02-5435775,בר-פאב,טאפסים,"א-ה: א', ב' 18:00- לקוח אחרון, ג'-ה' 17:00-לקוח אחרון
שישי: 18:00-לקוח אחרון
שבת: 13:00- לקוח אחרון",,Y,,N,N,31.762305,35.225675
55 אוכל ובירה,"לא כולל עסקיות, עסקית ילדים ו- happy hour",דרום,באר שבע,"ברוך קנדיתא 2(ללא עסקיות, ילדים ו happy hour)",08-6671919,בר-פאב,בר-פאב,"א-ה: א', ב' 18:00- לקוח אחרון, ג'-ה' 17:00-לקוח אחרון
שישי: 18:00- לקוח אחרון
שבת: 13:00- לקוח אחרון",,Y,55beers.co.il/,N,N,31.224418,34.801447
Black,"לא כולל עסקיות, 2eat, תפריטי ילדים, ותפריטי לילה",מרכז,גבעתיים,יצחק רבין 53 קניון עזריאלי,03-7769494,מסעדה,צמחוני-טבעוני,"א-ה: 12:00-לקוח אחרון
שישי: 12:00 - לקוח אחרון
שבת: 12:00- לקוח אחרון",,Y,blackbarburger.co.il,N,N,32.066595,34.810150
Temple Bar,בר אירי ,שרון,רמת השרון,סינמה סיטי גלילות,03-6995536,בר-פאב,בר-פאב,"א-ה: א', ב' 18:00- לקוח אחרון, ג'-ה' 17:00-לקוח אחרון
שישי: 18:00- לקוח אחרון
שבת: 13:00 - לקוח אחרון",,Y,templebar.co.il/?ContentID=2,N,N,32.146421,34.804749
חוות התבלינים בגלבוע,מסעדה ישראלית ים תיכוני,צפון,מ.א. גלבוע,"דרך נוף הגלבוע, כביש 667",04-6531093,תבלינים ופיצוחים,בית קפה,"א-ה: ב'- ה' 12:00-22:00
שישי: 09:00-11:00 - ארוחת בוקר, 12:00-22:00
שבת: 12:00-22:00",,Y,www.herb-farm.co.il/,N,N,32.533730,35.356950
קפה קפה ,מסעדה בשרי ,צפון,קריית חיים תאי דואר,"אח""י אילת 55",04-8404444,בית קפה,"בית קפה,בשרים","א-ה: 07:30-00:00
שישי: פתוח  24 שעות  יממה
שבת: פתוח  24 שעות  יממה",,Y,cafecafeeilat.rest.co.il,N,N,32.818554,35.074970
קפה קפה ,מסעדה חלבי ,מרכז,מגדל העמק,שאול עמור 77,04-6023535,בית קפה,"בית קפה,חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-23:30
שישי: 08:00 - שעתיים לפני כניסת שבת
שבת: שעה לאחר צאת השבת - לקוח אחרון",כשר,Y,cafecafeeilat.rest.co.il,N,N,32.678267,35.243565
JAJA,בר אוכל איטלקי ,מרכז,ראשון לציון,רוטשילד 86,077-9386330,מסעדה,איטלקי,"א-ה: 18:00-02:00לא כולל happy hour
שישי: 11:00-04:00 לא כולל happy hour
שבת: 17:00-02:00לא כולל happy hour",,Y,,N,N,31.964436,34.795367
אוליב  קונור,"בשרי, ישראלי וחלבי",מרכז,תל אביב - יפו,בוגרשוב 35,03-5283362,מסעדה,"איטלקי,בשרים,חלבי,מזרחי","א-ה: 09:00-23:00
שישי: 09:00-23:00
שבת: 09:00-23:00",,Y,olivekorner.com/,N,N,32.076790,34.770733
55 אוכל ובירה ,"לא כולל עסקיות, עסקית ילדים ו- happy hour",מרכז,ראשון לציון,"מאה עשרים ואחת 4  (ללא עסקיות, ילדים ו happy hour)",03-5448888,בר-פאב,"בר-פאב,בשרים,כריכים-סלטים,מתוקים-קינוחים","א-ה: א' -ב' 18:00-לקוח אחרון  ג'-ה' 17:00- לקוח אחרון
שישי: 18:00- לקוח אחרון
שבת: 13:00- לקוח אחרון",,Y,55beers.co.il/,N,N,31.979773,34.747565
גיגסי  ספורט בר ,"לא כולל עסקיות, תפריטי ילדים ו- happy hour",דרום,באר שבע,יצחק נפחא 36 לא כולל אולם הייניקן ואולם פפסי מקס,08-6109109,בר-פאב,"בר-פאב,בשרים,כריכים-סלטים,מתוקים-קינוחים","א-ה: 18:00- לקוח האחרון
שישי: לא כולל אולם הייניקן ואולם פפסי מקס
שבת: מצאת השבת - 01:00",כשר,Y,www.giggsi.co.il/restaurant.php,N,N,31.247743,34.810701
פרנג'ליקו ,מסעדה אסייתית ,צפון,עכו,רחוב החרושת 2 קניון עזריאלי,04-6013160,מסעדה,סושי-אסייאתי,"א-ה: 11:30-21:30
שישי: 11:30-14:30
שבת: שעה מצאת השבת - 20:30",כשר,Y,frangelicobar.com/,N,N,32.923144,35.081340
מסעדת פלפלה ,מסעדה כפרית,מרכז,כפר קאסם,כפר קאסם,03-9072038,מסעדה,"בשרים,ים תיכוני,מזרחי","א-ה: 11:00-23:00
שישי: 11:00-23:00
שבת: 11:00-23:00",,Y,37126760.rest.co.il/,N,N,32.113788,34.963716
מפגש שמש ,שווארמה - בשרי מזרחי ,מרכז,רמת גן,זבוטינסקי 155,03-6128989,מסעדה,"בשרים,ים תיכוני,מזרחי","א-ה: 11:00-23:00
שישי: 
שבת: ","כשר -בד""צ מחפוד",Y,mifgashshemesh.co.il/,N,N,32.091222,34.825009
ביירן - עזריאלי ,הבראסרי הבווארי הראשון בישראל,מרכז,תל אביב - יפו,דרך מנחם בגין 132,03-9444132,מסעדה,בשרים,"א-ה: 10:30-21:45
שישי: 10:30 - שעה לפני כניסת שבת
שבת: ",,Y,bayern-market.com/,N,N,32.073982,34.785983
ביירן - שרונה ,הבראסרי הבווארי הראשון בישראל,מרכז,תל אביב - יפו,קלמן מגן 3,,מסעדה,בשרים,"א-ה: 11:00-22:00
שישי: 10:30-15:00
שבת: 11:00-22:00",,Y,bayern-market.com/,N,N,32.071280,34.786328
פאט ויני ,דיינר איטלקי ,צפון,חדרה,"קניון מול הים, פרופסור שכטמן 10",2730*,מסעדה,איטלקי,"א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",,Y,www.fatvinny.com/about,Y,N,32.442431,34.894919
קפה בגולף,בוקר בראנץ' אווירה ,צפון,קיסריה,מועדון הגולף קיסריה,04-7743733,בית קפה,"איטלקי,בית קפה,בר-פאב","א-ה: 08:00-16:00
שישי: 08:00-16:00
שבת: 08:00-16:00",,Y,,N,N,32.501609,34.907259
מקס ברנר,בית קפה שוקולד ,מרכז,תל אביב - יפו,קלמן מגן 3,03-6229435,מסעדה,"בית קפה,חלבי,מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 09:00-00:00
שישי: 09:00-01:30
שבת: 09:00-00:30",,Y,www.max-brenner.co.il,Y,N,32.071545,34.786950
קפה קפה ,מסעדה בשרית,צפון,גן שמואל,מרכז מסחרי,,בית קפה,בשרים,"א-ה: 08:00-23:00
שישי: 08:00-23:00
שבת: 08:00-23:00",,Y,cafecafeeilat.rest.co.il,N,N,32.453002,34.949316
קפה קפה ,בית קפה מסעדה חלבי,צפון,ראש פינה,מרכז מסחרי חאן  מעלה גיא אוני 1,04-6936484,בית קפה,"בית קפה,חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-23:00
שישי: 08:00-14:00
שבת: מצאת השבת- 23:00",כשר למהדרין,Y,cafecafeeilat.rest.co.il,N,N,32.968998,35.547640
פיקניה ,גריל דרום אמריקאי ,שרון,רעננה,החרושת 14,09-8911180,מסעדה,בשרים,"א-ה: 12:00-23:00
שישי: 
שבת: ",כשר,Y,www.picanha.co.il/,N,N,32.195631,34.880999
איטליאנו דה לה קוסטה ,מסעדה איטלקית ,צפון,חיפה,העליה השנייה 96,04-6601011,מסעדה,"איטלקי,דגים,חלבי,מתוקים-קינוחים","א-ה: 12:00-23:00
שישי: 12:00-00:00
שבת: 11:00-23:00",,Y,www.eataliano.rest.co.il/,Y,N,32.831442,34.970477
EVENTOS,מסעדת בשרים בסגנון דרום אמריקאי,מרכז,ראשון לציון,דרך המכבים 40,077-9972391,מסעדה,בשרים,"א-ה: 12:00-23:30
שישי: 
שבת: שעה מצאת השבת - 23:00","כשר בד""ץ בית יוסף",N,elgaucho-rishon.co.il,N,N,31.980067,34.809426
רטרו פנקייק בר ,בר מסעדה ,שרון,כפר סבא,התע״ש 24,09-7722688,מסעדה,"בית קפה,בר-פאב,חלבי,מתוקים-קינוחים","א-ה: 09:00-01:00
שישי: 09:00-02:00
שבת: 10:00-01:00",,N,misadot.rol.co.il/sites/retro-pancake-bar-ks/,N,N,32.177147,34.927569
אבו כנאפה - דוכן קניון איילון ,סוגי ממתקים מזרחיים מיוחדים וייחודיים,מרכז,רמת גן,קניון איילון - רמת גן,052-2028665,"גלידריה, מתוקים וקינוחים","ים תיכוני,מזרחי,מתוקים-קינוחים","א-ה: דוכן בימי שישי בלבד
שישי: דוכן בימי שישי בלבד
שבת: דוכן בימי שישי בלבד",,Y,,N,N,32.100508,34.826165
אבו כנאפה  - דוכן בילו סנטר,סוגי ממתקים מזרחיים מיוחדים וייחודיים,מרכז,קריית עקרון,בילו סנטר קרית עקרון,052-2028665,"גלידריה, מתוקים וקינוחים","ים תיכוני,מזרחי,מתוקים-קינוחים","א-ה: פתוח בשבת בלבד
שישי: פתוח בשבת בלבד
שבת: פתוח בשבת בלבד",,Y,,N,N,31.863402,34.817056
קפית בגן ,בית קפה מסעדה,ירושלים,ירושלים,יהודה בורלא 1 הגן הבוטני,02-6480003,בית קפה,"איטלקי,בית קפה,דגים,חלבי","א-ה: 08:00-00:00
שישי: 08:00- שעה לפני כניסת שבת
שבת: שעה לאחר צאת השבת - 00:00",כשר,Y,caffit.co.il/,N,N,31.766395,35.201567
חומוס אשכרה,מסעדת חומוס,מרכז,תל אביב - יפו,ירמיהו 45,03-5464547,מסעדה,"ים תיכוני,צמחוני-טבעוני","א-ה: 05:00-02:00
שישי: 05:00-16:30
שבת: ",כשר,N,misadot.rol.co.il/sites/hummus-ashkara,N,N,32.095122,34.777897
קפה קפה ,בית קפה מסעדה,צפון,חיפה,שד' בן גוריון 2,04-9823077,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 07:30-23:30
שישי: 07:00-שעה לפני כניסת שבת
שבת: שעה לאחר צאת השבת - 23:30",למהדרין,Y,www.cafecafe.co.il/he/home/a/main/,N,N,32.823415,34.992924
קפה קפה ,בית קפה מסעדה ,שרון,טייבה,כביש 444,050-9742699,בית קפה,חלבי,"א-ה: 08:00-00:00
שישי: 08:00-00:00
שבת: 08:00-00:00",,Y,www.cafecafe.co.il/he/home/a/main/,N,N,32.264844,35.000765
קפה קפה,בית קפה מסעדה ,צפון,נהרייה,שדרות הנשיא בן צבי 2,04-6080813,בית קפה,"בית קפה,בשרים","א-ה: 08:00-22:00
שישי: 07:30-15:30
שבת: 09:00-22:00",,Y,www.cafecafe.co.il/he/home/a/main/,N,N,33.005183,35.100515
קפה קפה ,בית קפה מסעדה,צפון,קריית טבעון,ככר בן גוריון 1 - גן המייסדים,04-9830883,בית קפה,"איטלקי,בית קפה,חלבי,כריכים-סלטים","א-ה: 07:30-00:00
שישי: 07:30-00:00
שבת: 0900-00:00",,Y,www.cafecafe.co.il/he/home/a/main/,N,N,32.722624,35.131037
קפה קפה ,בית קפה מסעדה חלבי ,דרום,מבקיעים,גלובוס סנטר אשקלון,08-6141477,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 08:00-22:00
שישי: 08:00-17:00
שבת: 08:00-23:00",,Y,www.cafecafe.co.il/he/home/a/main/,N,N,31.630927,34.582561
קפה קפה ,בית קפה מסעדה,ירושלים,אלמוג,צומת אלמוג,02-9402555,בית קפה,"בית קפה,בשרים","א-ה: 08:00-00:00
שישי: 08:00-00:00
שבת: 08:00-00:00",,Y,www.cafecafe.co.il/he/home/a/main/,N,N,31.802150,35.453036
"ביירן מרקט - נתב""ג",הבראסרי הבווארי הראשון בישראל,מרכז,"נתב""ג","טרמינל 3 נתב""ג",054-7616699,מסעדה,בשרים,"א-ה: 24/7
שישי: 24/7
שבת: 24/7",,Y,bayern-market.com/,N,N,31.994593,34.896561
NORI,סושי בר  - לא כולל HAPPY HOUR,שרון,נתניה,הצורן 4,09-7703990,מסעדה,"סושי-אסייאתי,בשרים,דגים,צמחוני-טבעוני","א-ה: 11:30-23:30
שישי: 
שבת: ",כשר,Y,nori.co.il/,N,N,32.288779,34.865872
הטבעונית j17 ,100% אוכל טבעוני כולל מאכלים ביתיים ,מרכז,תל אביב - יפו,ירמיהו 17,03-9442773,מסעדה,צמחוני-טבעוני,"א-ה: 10:30-23:00
שישי: 09:30-16:00
שבת: ",כשר,Y,j17.co.il/,N,N,32.094876,34.775895
רנה,ביסטרו בר קפה ,צפון,ראש פינה,דרך הגליל,04-6151935,מסעדה,"בר-פאב,חלבי,כריכים-סלטים","א-ה: 08:00-00:00
שישי: 08:00-00:00
שבת: 08:00-00:00",כשר,Y,renebistrobarcafe.co.il/default.aspx,N,N,32.969705,35.549973
רנה,ביסטרו בר קפה ,צפון,כרמיאל,מעלה כמון מתחם ביג,04-6126773,מסעדה,בית קפה,"א-ה: 08:00-00:00
שישי: 
שבת: ",כשר,Y,renebistrobarcafe.co.il/default.aspx,N,N,32.927367,35.323510
קופינאס,ביסטרו איטלקי במושב,שרון,צור משה,השיבולים 3,09-7722672,בית קפה,"איטלקי,בית קפה","א-ה: 09:00-23:00
שישי: 08:30-23:00
שבת: 09:00-23:00",,Y,www.kofinas.co.il/,N,N,32.298364,34.913112
טאיה ,אסייתי וסושי בר ,שרון,קדימה,האופה 1 רולדין סנטר,09-7728878,מסעדה,"סושי-אסייאתי,צמחוני-טבעוני","א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",,Y,www.tayarest.co.il/,Y,N,32.276485,34.919583
בורקס השוק ,דוכן בורקסים בכל הטעמים ,מרכז,תל אביב - יפו,קלמן מגן 3 שרונה מרקט,052-22028665,מאפיה וקונדיטוריה,ים תיכוני,"א-ה: 09:30-22:00
שישי: 08:30-16:30
שבת: 09:00-16:30",כשר,Y,,N,N,32.070988,34.787288
בית החצ'פורי ,בן גוריון 105,מרכז,בת ים,בן גוריון 105,1700-700-165,מסעדה,חלבי,"א-ה: 08:30-00:00
שישי: 08:30-00:00
שבת: 08:30-00:00",,N,deda.co.il/hachapori/?,N,N,32.016146,34.738723
קפה קפה ,בית קפה - בשרי ,צפון,נצרת,הגליל 1,04-6797235,בית קפה,"בית קפה,בשרים","א-ה: 07:30-22:00
שישי: 07:30-22:00
שבת: 07:30-22:00",,Y,www.cafecafe.co.il/he/home/a/main,N,N,32.706400,35.301751
moon,מסעדה יפנית ,שרון,הרצליה,החושלים 4,03-6291155,מסעדה,"סושי-אסייאתי,צמחוני-טבעוני","א-ה: 12:00-23:30
שישי: 12:00-16:00
שבת: ",,Y,www.moon-sushi.co.il/,N,N,32.158741,34.807262
יקב שילה ,יקב בוטיק מכירת יין וסיורי טעימות בתיאום מראש,ירושלים,שילה,אזור התעשיה שילה,050-3422268,יקבים ומבשלות בירה,בר-פאב,"א-ה: בתיאום מראש 09:00-17:00
שישי: 09:00-17:00 בתיאום מראש
שבת: ",כשר,Y,www.shilohwinery.com/?lang=he,Y,N,32.047769,35.302239
יקב כהנוב ,מכירת יין וסיורים בתיאום מראש ,דרום,גדרה,גדרה,052-2523721 | 052-3963999,בר-פאב,בר-פאב,"א-ה: בתיאום טלפוני מראש
שישי:  בתיאום מראש 10:00-15:00
שבת: ",,Y,www.kahanov.com/,Y,N,31.825372,34.770399
יקב יפו,מכירת יין,ירושלים,נווה מיכאל,נוה מיכאל עמק האלה,054-4523201,יקבים ומבשלות בירה,בר-פאב,"א-ה: 
שישי: 11:00-17:00
שבת: ",למהדרין,N,www.yaffowinery.co.il/,Y,N,31.675930,35.001648
מוסקו ,מבשלת בירה בוטיק,ירושלים,זנוח,מושב זנוח משק 28,052-2332591,יקבים ומבשלות בירה,בר-פאב,"א-ה: יום ה'  09:00-17:00 20:00-02:30 בר פתוח
שישי: תיאום טלפוני מראש
שבת: ","כשר בד""צ בית יוסף",Y,moscobeer.co.il/,N,N,31.733755,34.998150
יקב פסגות ,מכירת יין וסיורים בתיאום מראש,ירושלים,פסגות,ישוב פסגות,02-9979333,יקבים ומבשלות בירה,בר-פאב,"א-ה: 09:00-16:00 בתיאום מראש
שישי: 09:00-13:00 בתיאום מראש
שבת: ",כשר,Y,psagotwines.com/,N,N,31.875328,35.259165
מזקקת גולני ,מזקקת ויסקי ג'ין וערק בייצור עצמי,צפון,קצרין,אזור התעשיה 18 קצרין,053-3394787,יקבים ומבשלות בירה,בר-פאב,"א-ה: 09:00-16:00 בתיאום מראש
שישי: 10:00-14:00  בתיאום מראש
שבת: ",כשר למהדרין,Y,www.golanispirit.com/,Y,N,32.991709,35.709702
יקב דלתון,מכירת יין וסיורים בתיאום מראש ,צפון,דלתון,פארק תעשיה דלתון מרום גליל,04-9527107 או 054-6360940,יקבים ומבשלות בירה,בר-פאב,"א-ה: 10:00-18:00
שישי: 10:00-14:00
שבת: ",כשר למהדרין,Y,www.dalton-winery.com/,Y,N,33.029603,35.476754
בוצ'רי ,אחוזת בשר ,דרום,באר שבע,ההסתדרות 22,08-6233370,מסעדה,"בשרים,דגים,ים תיכוני","א-ה: 12:00-23:00
שישי: 12:00-שעתיים לפני כניסת שבת
שבת: מצאת השבת - 23:30",כשר,Y,,N,N,31.238132,34.787564
Bread and Breakfast ,בית קפה מסעדה ,שרון,רעננה,זבוטינסקי 3,09-7728340,בית קפה,"בית קפה,דגים,חלבי,ים תיכוני","א-ה: 07:00-20:00
שישי: 07:00-14:00
שבת: ",כשר למהדרין,Y,breadandbreakfast.rest.co.il/,N,N,32.179804,34.874271
Cafe Lugano,בית קפה מסעדה,מרכז,רמת גן,החוגה 2,077-4070604,בית קפה,"בית קפה,דגים,חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-22:00
שישי: 08:00-14:00
שבת: ",כשר למהדרין,Y,www.cafe-lugano.com/,N,N,32.046411,34.834439
קפה קפה ,בית קפה מסעדה ,מרכז,תל אביב - יפו,דיזנגוף סנטר (קומה 3),052-7595501,בית קפה,"בית קפה,חלבי,כריכים-סלטים","א-ה: 09:00-20:00
שישי: 08:30-15:00
שבת: ",כשר,Y,www.cafecafe.co.il/he/home/a/main/,N,N,32.075031,34.774906
נגיסה ,סושיה מטבח אסיאתי ,מרכז,תל אביב - יפו,בני אפרים 280,077-7000333,מסעדה,"סושי-אסייאתי,צמחוני-טבעוני","א-ה: 11:30-23:30
שישי: 11:30-23:30
שבת: 11:30-23:30",,Y,nagisasushi.co.il/,N,N,32.123169,34.823907
אחלה ,מסעדת בשרים ,אילת,אילת,קאמן 1,08-6342555,מסעדה,"בשרים,ים תיכוני","א-ה: 12:00-23:00
שישי: 
שבת: מצאת השבת - 00:00",כשר למהדרין,N,,N,N,29.555964,34.959213
בולווארד I cafe,בית קפה חלבי ,אילת,אילת,מלון ישרוטל רויאל גארדן 1,08-6386666,בית קפה,"איטלקי,בית קפה,חלבי","א-ה: 07:30-23:00
שישי: 09:00-23:00
שבת: 09:00-23:00",,Y,,N,N,29.550387,34.963255
ג'ויה ,מסעדה איטלקית ,צפון,ראש פינה,דרך הגליל 12,04-8589099,מסעדה,איטלקי,"א-ה: 12:00-23:00
שישי: 12:00-15:30
שבת: מצאת השבת - לקוח האחרון",כשר,Y,joya.co.il/,N,N,32.970762,35.550527
יקב קטלב,יקב בוטיק מכירת יין וסיורי טעימות בתיאום מראש,ירושלים,נס הרים,נס הרים 8,02-5703575,יקבים ומבשלות בירה,בר-פאב,"א-ה: 08:30-17:00 בתיאום מראש
שישי: 09:30-13:30
שבת: ",כשר למהדרין,Y,www.katlav.co.il/,Y,N,31.745881,35.060450
גלידה סיציליאנית ,"גלידה, קפה וקינוחים",שרון,הרצליה,שנקר 14,03-9774367,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 11:00-00:00
שישי: 11:00-00:00
שבת: 11:00-00:00",,Y,glideria.co.il/,Y,N,32.159038,34.808573
באבא יאגה ,בית קפה מסעדה,מרכז,תל אביב - יפו,הירקון 12,03-5175179,מסעדה,"איטלקי,בית קפה,בר-פאב,ים תיכוני","א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",,Y,www.babayaga.co.il/,Y,N,32.069346,34.764691
Black&white,סושי בר ,מרכז,ראשון לציון,ז'בוטינסקי 53,03-9619999,מסעדה,"סושי-אסייאתי,צמחוני-טבעוני","א-ה: 12:00-00:30 יום ה' עד 01:00
שישי: 12:00-16:00
שבת: 18:00-01:00",,Y,,N,N,31.964481,34.793559
וופל בר ,גם מתוק וגם מלוח ,ירושלים,מודיעין-מכבים-רעות,שד' מנחם בגין 21,03-6404544,"גלידריה, מתוקים וקינוחים","איטלקי,בית קפה,דגים,כריכים-סלטים,מתוקים-קינוחים","א-ה: 09:00-23:30
שישי: 08:00-14:00
שבת: מצאת השבת- 23:30",כשר,Y,waffle-bar.co.il/branches.aspx?p=2,N,N,31.881506,35.013288
נגיסה ,סושיה מטבח אסיאתי ,מרכז,גבעת שמואל,יוני נתניהו 29,03-5555035,מסעדה,"סושי-אסייאתי,צמחוני-טבעוני","א-ה: 11:30-23:00
שישי: 
שבת: שעה ממוצ""ש-23:30","בד""צ",Y,nagisasushi.co.il/,N,N,32.077195,34.854732
